Time	Node	Type	Packets	
153.5	Router0	CacheMisses	45
154	Router0	CacheHits	46
154	Router0	CacheMisses	44
154.5	Router0	CacheHits	46
154.5	Router0	CacheMisses	45
155	Router0	CacheHits	45
155	Router0	CacheMisses	44
155.5	Router0	CacheHits	46
155.5	Router0	CacheMisses	46
156	Router0	CacheHits	46
156	Router0	CacheMisses	43
156.5	Router0	CacheHits	45
156.5	Router0	CacheMisses	46
157	Router0	CacheHits	46
157	Router0	CacheMisses	43
157.5	Router0	CacheHits	46
157.5	Router0	CacheMisses	45
158	Router0	CacheHits	46
158	Router0	CacheMisses	44
158.5	Router0	CacheHits	45
158.5	Router0	CacheMisses	45
159	Router0	CacheHits	46
159	Router0	CacheMisses	44
159.5	Router0	CacheHits	46
159.5	Router0	CacheMisses	43
160	Router0	CacheHits	46
160	Router0	CacheMisses	43
160.5	Router0	CacheHits	46
160.5	Router0	CacheMisses	46
161	Router0	CacheHits	46
161	Router0	CacheMisses	43
161.5	Router0	CacheHits	45
161.5	Router0	CacheMisses	44
162	Router0	CacheHits	46
162	Router0	CacheMisses	45
162.5	Router0	CacheHits	46
162.5	Router0	CacheMisses	44
163	Router0	CacheHits	46
163	Router0	CacheMisses	43
163.5	Router0	CacheHits	46
163.5	Router0	CacheMisses	45
164	Router0	CacheHits	46
164	Router0	CacheMisses	44
164.5	Router0	CacheHits	45
164.5	Router0	CacheMisses	43
165	Router0	CacheHits	46
165	Router0	CacheMisses	46
165.5	Router0	CacheHits	46
165.5	Router0	CacheMisses	45
166	Router0	CacheHits	46
166	Router0	CacheMisses	44
166.5	Router0	CacheHits	45
166.5	Router0	CacheMisses	45
167	Router0	CacheHits	46
167	Router0	CacheMisses	44
167.5	Router0	CacheHits	46
167.5	Router0	CacheMisses	45
168	Router0	CacheHits	43
168	Router0	CacheMisses	43
168.5	Router0	CacheHits	45
168.5	Router0	CacheMisses	44
169	Router0	CacheHits	46
169	Router0	CacheMisses	43
169.5	Router0	CacheHits	46
169.5	Router0	CacheMisses	41
170	Router0	CacheHits	46
170	Router0	CacheMisses	43
170.5	Router0	CacheHits	46
170.5	Router0	CacheMisses	45
171	Router0	CacheHits	46
171	Router0	CacheMisses	44
171.5	Router0	CacheHits	46
171.5	Router0	CacheMisses	43
172	Router0	CacheHits	46
172	Router0	CacheMisses	46
172.5	Router0	CacheHits	46
172.5	Router0	CacheMisses	43
173	Router0	CacheHits	45
173	Router0	CacheMisses	46
173.5	Router0	CacheHits	46
173.5	Router0	CacheMisses	45
174	Router0	CacheHits	46
174	Router0	CacheMisses	43
174.5	Router0	CacheHits	45
174.5	Router0	CacheMisses	44
175	Router0	CacheHits	46
175	Router0	CacheMisses	43
175.5	Router0	CacheHits	46
175.5	Router0	CacheMisses	45
176	Router0	CacheHits	20
176	Router0	CacheMisses	72
176.5	Router0	CacheHits	0
