Time	Node	Type	Packets	
93	RouterNet	CacheHits	0
93	RouterNet	CacheMisses	134
93.5	RouterNet	CacheHits	0
93.5	RouterNet	CacheMisses	134
94	RouterNet	CacheHits	0
94	RouterNet	CacheMisses	127
94.5	RouterNet	CacheHits	0
94.5	RouterNet	CacheMisses	132
95	RouterNet	CacheHits	0
95	RouterNet	CacheMisses	135
95.5	RouterNet	CacheHits	0
95.5	RouterNet	CacheMisses	134
96	RouterNet	CacheHits	0
96	RouterNet	CacheMisses	132
96.5	RouterNet	CacheHits	0
96.5	RouterNet	CacheMisses	132
97	RouterNet	CacheHits	0
97	RouterNet	CacheMisses	134
97.5	RouterNet	CacheHits	0
97.5	RouterNet	CacheMisses	131
98	RouterNet	CacheHits	0
98	RouterNet	CacheMisses	130
98.5	RouterNet	CacheHits	0
98.5	RouterNet	CacheMisses	134
99	RouterNet	CacheHits	0
99	RouterNet	CacheMisses	134
99.5	RouterNet	CacheHits	0
99.5	RouterNet	CacheMisses	136
100	RouterNet	CacheHits	0
100	RouterNet	CacheMisses	134
100.5	RouterNet	CacheHits	0
100.5	RouterNet	CacheMisses	137
101	RouterNet	CacheHits	0
101	RouterNet	CacheMisses	133
101.5	RouterNet	CacheHits	0
101.5	RouterNet	CacheMisses	133
102	RouterNet	CacheHits	0
102	RouterNet	CacheMisses	130
102.5	RouterNet	CacheHits	0
102.5	RouterNet	CacheMisses	135
103	RouterNet	CacheHits	0
103	RouterNet	CacheMisses	132
103.5	RouterNet	CacheHits	0
103.5	RouterNet	CacheMisses	132
104	RouterNet	CacheHits	0
104	RouterNet	CacheMisses	129
104.5	RouterNet	CacheHits	0
104.5	RouterNet	CacheMisses	135
105	RouterNet	CacheHits	0
105	RouterNet	CacheMisses	131
105.5	RouterNet	CacheHits	0
105.5	RouterNet	CacheMisses	135
106	RouterNet	CacheHits	0
106	RouterNet	CacheMisses	131
106.5	RouterNet	CacheHits	0
106.5	RouterNet	CacheMisses	129
107	RouterNet	CacheHits	0
107	RouterNet	CacheMisses	132
107.5	RouterNet	CacheHits	0
107.5	RouterNet	CacheMisses	129
108	RouterNet	CacheHits	0
108	RouterNet	CacheMisses	133
108.5	RouterNet	CacheHits	0
108.5	RouterNet	CacheMisses	131
109	RouterNet	CacheHits	0
109	RouterNet	CacheMisses	132
109.5	RouterNet	CacheHits	0
109.5	RouterNet	CacheMisses	131
110	RouterNet	CacheHits	0
110	RouterNet	CacheMisses	133
110.5	RouterNet	CacheHits	0
110.5	RouterNet	CacheMisses	130
111	RouterNet	CacheHits	0
111	RouterNet	CacheMisses	131
111.5	RouterNet	CacheHits	0
111.5	RouterNet	CacheMisses	135
112	RouterNet	CacheHits	0
112	RouterNet	CacheMisses	127
112.5	RouterNet	CacheHits	0
112.5	RouterNet	CacheMisses	136
113	RouterNet	CacheHits	0
113	RouterNet	CacheMisses	130
113.5	RouterNet	CacheHits	2
113.5	RouterNet	CacheMisses	133
114	RouterNet	CacheHits	2
114	RouterNet	CacheMisses	127
114.5	RouterNet	CacheHits	0
114.5	RouterNet	CacheMisses	134
115	RouterNet	CacheHits	0
115	RouterNet	CacheMisses	130
115.5	RouterNet	CacheHits	0
115.5	RouterNet	CacheMisses	134
116	RouterNet	CacheHits	0
116	RouterNet	CacheMisses	133
116.5	RouterNet	CacheHits	0
116.5	RouterNet	CacheMisses	135
117	RouterNet	CacheHits	0
117	RouterNet	CacheMisses	129
117.5	RouterNet	CacheHits	0
117.5	RouterNet	CacheMisses	134
118	RouterNet	CacheHits	0
118	RouterNet	CacheMisses	134
118.5	RouterNet	CacheHits	0
118.5	RouterNet	CacheMisses	128
119	RouterNet	CacheHits	0
119	RouterNet	CacheMisses	132
119.5	RouterNet	CacheHits	0
119.5	RouterNet	CacheMisses	134
120	RouterNet	CacheHits	0
120	RouterNet	CacheMisses	132
120.5	RouterNet	CacheHits	0
120.5	RouterNet	CacheMisses	129
121	RouterNet	CacheHits	0
121	RouterNet	CacheMisses	132
121.5	RouterNet	CacheHits	0
121.5	RouterNet	CacheMisses	132
122	RouterNet	CacheHits	0
122	RouterNet	CacheMisses	132
122.5	RouterNet	CacheHits	0
122.5	RouterNet	CacheMisses	134
123	RouterNet	CacheHits	0
123	RouterNet	CacheMisses	134
123.5	RouterNet	CacheHits	0
123.5	RouterNet	CacheMisses	128
124	RouterNet	CacheHits	0
124	RouterNet	CacheMisses	135
124.5	RouterNet	CacheHits	0
124.5	RouterNet	CacheMisses	128
125	RouterNet	CacheHits	0
125	RouterNet	CacheMisses	130
125.5	RouterNet	CacheHits	0
125.5	RouterNet	CacheMisses	135
126	RouterNet	CacheHits	0
126	RouterNet	CacheMisses	134
126.5	RouterNet	CacheHits	0
126.5	RouterNet	CacheMisses	132
127	RouterNet	CacheHits	0
127	RouterNet	CacheMisses	130
127.5	RouterNet	CacheHits	0
127.5	RouterNet	CacheMisses	135
128	RouterNet	CacheHits	0
128	RouterNet	CacheMisses	134
128.5	RouterNet	CacheHits	0
128.5	RouterNet	CacheMisses	137
129	RouterNet	CacheHits	0
129	RouterNet	CacheMisses	128
129.5	RouterNet	CacheHits	0
129.5	RouterNet	CacheMisses	133
130	RouterNet	CacheHits	0
130	RouterNet	CacheMisses	128
130.5	RouterNet	CacheHits	0
130.5	RouterNet	CacheMisses	130
131	RouterNet	CacheHits	0
131	RouterNet	CacheMisses	128
131.5	RouterNet	CacheHits	0
131.5	RouterNet	CacheMisses	134
132	RouterNet	CacheHits	0
132	RouterNet	CacheMisses	129
132.5	RouterNet	CacheHits	0
