Time	Node	Type	Packets	
93.5	Router1	CacheMisses	44
94	Router1	CacheHits	0
94	Router1	CacheMisses	43
94.5	Router1	CacheHits	0
94.5	Router1	CacheMisses	46
95	Router1	CacheHits	0
95	Router1	CacheMisses	45
95.5	Router1	CacheHits	0
95.5	Router1	CacheMisses	44
96	Router1	CacheHits	0
96	Router1	CacheMisses	44
96.5	Router1	CacheHits	0
96.5	Router1	CacheMisses	45
97	Router1	CacheHits	0
97	Router1	CacheMisses	46
97.5	Router1	CacheHits	0
97.5	Router1	CacheMisses	41
98	Router1	CacheHits	0
98	Router1	CacheMisses	46
98.5	Router1	CacheHits	0
98.5	Router1	CacheMisses	45
99	Router1	CacheHits	0
99	Router1	CacheMisses	46
99.5	Router1	CacheHits	0
99.5	Router1	CacheMisses	42
100	Router1	CacheHits	0
100	Router1	CacheMisses	45
100.5	Router1	CacheHits	0
100.5	Router1	CacheMisses	45
101	Router1	CacheHits	0
101	Router1	CacheMisses	46
101.5	Router1	CacheHits	0
101.5	Router1	CacheMisses	45
102	Router1	CacheHits	0
102	Router1	CacheMisses	46
102.5	Router1	CacheHits	0
102.5	Router1	CacheMisses	44
103	Router1	CacheHits	0
103	Router1	CacheMisses	43
103.5	Router1	CacheHits	0
103.5	Router1	CacheMisses	43
104	Router1	CacheHits	0
104	Router1	CacheMisses	46
104.5	Router1	CacheHits	0
104.5	Router1	CacheMisses	45
105	Router1	CacheHits	0
105	Router1	CacheMisses	46
105.5	Router1	CacheHits	0
105.5	Router1	CacheMisses	44
106	Router1	CacheHits	0
106	Router1	CacheMisses	43
106.5	Router1	CacheHits	0
106.5	Router1	CacheMisses	46
107	Router1	CacheHits	0
107	Router1	CacheMisses	43
107.5	Router1	CacheHits	0
107.5	Router1	CacheMisses	44
108	Router1	CacheHits	0
108	Router1	CacheMisses	43
108.5	Router1	CacheHits	0
108.5	Router1	CacheMisses	46
109	Router1	CacheHits	0
109	Router1	CacheMisses	45
109.5	Router1	CacheHits	0
109.5	Router1	CacheMisses	42
110	Router1	CacheHits	0
110	Router1	CacheMisses	45
110.5	Router1	CacheHits	0
110.5	Router1	CacheMisses	44
111	Router1	CacheHits	0
111	Router1	CacheMisses	45
111.5	Router1	CacheHits	0
111.5	Router1	CacheMisses	44
112	Router1	CacheHits	0
112	Router1	CacheMisses	43
112.5	Router1	CacheHits	0
